model_name,accuracy,macro_precision,macro_recall,macro_f1,positive_class_f1,positive_class_precision,positive_class_recall,roc_auc,pr_auc,confusion_matrix,class_support
RandomForestClassifier,0.7475,0.4991,0.4986,0.4942,0.1363,0.1104,0.178,0.5163,0.128,"[[2008, 443], [254, 55]]","[2451, 309]"
PersistenceBaseline,0.7993,0.4953,0.4953,0.4953,0.1036,0.1036,0.1036,0.4953,0.1111,"[[2174, 277], [277, 32]]","[2451, 309]"
