Name,Rural Hospitals,Rural Beds,Urban Hospitals,Urban Beds,Total Hospitals,Total Beds,Confirmed Cases,Recovered Cases,deaths,date,asOn,helpline
Andhra Pradesh,193,6480,65,16658,258,23138,487331,382104,4347,September 06,2017-01-01T00:00:00.000Z,+91-866-2410978
Telangana,802,7668,61,13315,863,20983,0,0,0,0,2017-12-31T00:00:00.000Z,0
