SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Flood
TELANGANA,2001,8.5,0,21.5,37.3,7.5,183.9,123.8,266.8,119.9,135.6,17.4,0,922.3,No
TELANGANA,2002,18.8,10.1,7.6,7.7,32,143.2,91.7,321.7,52.4,76.2,3.9,0,765.3,No
TELANGANA,2003,0,10.7,21.9,14,7.9,112.6,312.2,266.5,103.2,101.7,7.3,5.3,963.2,No
TELANGANA,2004,34.4,17.9,9.3,25.9,34.6,64.6,216.7,117.7,110.1,30.6,5.3,0,667,No
TELANGANA,2005,43.4,14.1,14.6,23.8,19.7,115.1,400.3,126.9,246.3,136.1,3.9,18.8,1163.1,No
TELANGANA,2006,0,0,42.7,38.6,46.1,104.8,169.5,308.2,280.2,28.1,34.7,0,1053,No
TELANGANA,2007,0,0,0.1,0.1,9.2,176.6,134.6,206.6,262.3,40.8,13,0,843.3,No
TELANGANA,2008,0.2,18.6,108.6,15.7,4.9,132.9,183.4,391.8,146.7,24.2,7.5,0.8,1035.3,No
TELANGANA,2009,0,0,2.1,4.5,13.1,85.8,118.4,192.3,149.7,69.5,29.6,1.2,666.3,No
TELANGANA,2010,10.3,5.3,1.5,5.6,24.9,127,395.5,308.1,249.8,98.7,40.5,9.3,1276.4,No
TELANGANA,2011,0,11.9,2.6,25.6,9.3,83.9,268.2,225.9,107.6,13.9,4.2,0,753.1,No
TELANGANA,2012,6.7,0,0.2,14,8.4,124.4,300.3,229.9,202.4,83.6,38.7,0,1008.6,No
TELANGANA,2013,2.4,29,0.2,24.4,8.5,213.4,453.8,230.6,161.4,205.9,16.4,2.7,1348.7,No
TELANGANA,2014,0.2,2.9,58.3,10.3,73.3,62.3,146,205.2,146.8,29.6,10.8,0.7,746.4,No
TELANGANA,2015,17.5,0,43,65.7,23.3,266.9,104.4,160.5,158.3,15.6,0.3,1.7,857.3,No
