Name,Rural Hospitals,Rural Beds,Urban Hospitals,Urban Beds,Total Hospitals,totalBeds,asOn,March 10,March 11,March 12,March 13,March 14,March 15,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,June 25,June 26,June 27,June 28,June 29,June 30,July 01,July 02,July 03,July 04,July 05,July 06,July 07,July 08,July 09,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,August 01,August 02,August 03,August 04,August 05,August 06,August 07,August 08,August 09,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,September 01,September 02,September 03,September 04,September 05,September 06,Final,Hospital Beds,Helpline
Andhra Pradesh,193,6480,65,16658,258,23138,2017-01-01T00:00:00.000Z,0,0,0,1,1,1,1,1,1,2,3,3,5,7,8,9,11,12,14,19,23,40,83,86,132,161,190,226,266,305,348,363,381,381,432,473,503,534,572,603,603,722,757,813,895,955,1061,1097,1177,1259,1332,1403,1463,1525,1583,1650,1717,1717,1777,1847,1887,1930,1980,2018,2090,2137,2205,2307,2355,2407,2474,2532,2602,2647,2709,2757,2823,3110,3171,3171,3251,3436,3569,3679,3783,3898,4080,4223,4303,4510,4708,4851,5070,5269,5429,5680,5965,6163,6456,6841,7071,7518,7961,8452,8999,9372,10002,10331,10884,11489,12285,13241,13891,14595,15252,16097,16934,17699,18697,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,38044,40646,44609,49650,53724,58668,64713,72711,80858,88671,96298,102349,110297,120390,130557,140933,150209,158764,166586,176333,186461,196789,206960,217040,227860,235525,244549,254146,264142,273085,281817,289829,296609,306261,316003,325396,334940,345216,353111,361712,371639,382469,393090,403616,424767,424767,445139,445139,455531,465730,476506,487331,487331,23138,+91-866-2410978
Telangana,802,7668,61,13315,863,20983,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4111,4320,4484,4737,4974,5193,5406,5675,6027,6526,7072,7802,8674,9553,10444,11364,12349,13436,14419,15394,16339,17357,18570,20462,22312,23902,25733,27612,29536,30946,32224,33402,34671,36221,37745,39342,41018,42496,43780,45076,46274,47705,49259,50826,52466,0,54059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20983,1075
